tweet_with_emoji_meaning,label
خبرگزاری رکنا کش قوس‌ی فراوان سرانجام مجوز ورود ۵۰۰ هوادار خانم مسابقه استقلال مس کرمان ورزشگاه آزادی صادر بانوان حضور طبقه بازی تماشا هماکنون بلیط فروشی بازی استقلال مس شروع‌شده کاربران بانوان استقلالی بلیط خریداری,0
زد بازی شدید افسانه‌یی حسین مخته رضایا اردلان طعمه اشکین صفر نودو هشت بچگی کسل‌کننده‌ای داشتید  خنده,1
حاضر شرایط ازدواج بدبخت دختر مردم دارم,1
دوستان لاتاری برنده امشب پروازشه گروه واتساپی دوستانه خداحافظی مبسوطی لفت گلبرگم عزیز بیپناهم خاک وطن زندگی آمریکای جنخوار ترک کردی دیگه سوشال مدیا مجرت نکردی اینطوری ما انداختی,1
واقعا چیه کوکوسبزی هرچی بهش می‌زنی هرچی میخوریش بازم ناکافی فاقد ارزش صلاحیته بمیر دیگه,0
نشستم دیدم زده ر می‌ترسم وقت جلو نمیرم  بچی اعماق وجودم هست ازینکه دستشو شلوغی ول کنن میترسه,0
باری بابام قربون صدقهم دوازده سال وسط بحث بهش گفتم نمیفهممت قربون آدم فهم منم میگم نفهمی دیگه گوساله,1
تعدادی خبرنگاران ورزشی بازی استقلال مس کرمان حضور ۵۰۰ هوادار خانم برگزار سازمان لیگ موضوع رسما اعلام نکرده_است,0
اینجوریه اعتماد نفسی پول ایجاد میشه موندگارتر اون اعتماد نفسیه قیافه تحصیلات بدست اومده,0
احتمالا خدا بپرسید پشه آفریدی میگه همون دلیلی آدما چیپس لیمویی آفریدن,0
آقا پسرا توجه فرمایید ساپینتو  فرمانده ارتش فحش حکم ماه زندان اونوقت شما خدمت میزدین گوش فرماندتون هیچکسم کاری بهتون نداشت ازین حکم سال زندان بگه زدم گوش فرماندم خودم می‌زنم گوشش,1
پا واقعا قلب آدمان دوسش داری هرجا بیدلیل دنبالش رفتی می‌فهمی,0
موفق صبح شب داره دهن منو سرویس میکنه,0
گاهی وقتا شانس گلوله اضافهست نتونسته تورو هدف بگیره,0
دوتا عمل زیبایی پارسا پیروزفر فاصله دارم عمل نکنما اون دوتا جراحی ناموفق باشه زشت‌تر شه,1
اینم بدونید  دختر نمیتونه شیو باشه ناخن دستش مرتب باشه ابرو ش تمیز باشه پولدار باشه کار کنه حواسش باشه دست جیبتون می‌کنید دنگشو بده حواسش باشه خاطر چیزا رابطش بهم نریزه خلاصه کارخونه آدم باشه نمیتونید اینا سفارش بدید,0
دخترای برنامه‌نویس میگن کدبانو,1
وضعیت خوابگاه عجیبه نفر لهجه شدهیم جروبحث میاد شاهد رقص لهجه‌ خدا شکر اینمورد تأثیری نگرفتهیم مثلا دیروز پسروی تخت بالویی دعوا می‌گرفتم برگشت ببین یره سنی اولدوریرم,1
تلاقی اینترنت روستا واقعا عجیبه مثلا الان هندزفری گذاشتم آهنگ رپ گاد امینم اسپاتیفای پلی دارم میرم زمینو کود بدم,1
خواب واقعا خوبه آدم خواب کمتر میفهمه کمتر ناراحت میشه خوشحاله,0
امروز جلوی کافه منتظر دوستم بودم دوتا برش کیک دستم یهو  دختره رد  برش برداشت قبول باشه,1
افسردگی تموم مختار نامه,1
واقعیتش اینه دخترا دوست نداریم اذیتتون کنیمولی  صدایی هی گوشمون میگه اذیتش کن دعوا کن گیر بده آ خوبهبیشتر قشنگ زجرکش شه خب بغلش کن لوس شو لوس لوس‌تر خب بسشه پرو میشه الان گیر بده آفرین شکنجهی روانی کار کن عالیه دختر عالیه خنده,0
 لیست آدمایی سم هستن زندگی وارتباطچیزی کسر اضافه کنیدآخریش مهمتره خودشاخ پندار عقدی زخم زبون زن تیکه انداز حسود بی‌قید بند سر حرف بزن روانی,0
درست برخورد بادی شیمینگ بگیم گل  بویی داره زیبان واقعیت نداره نیتا زیبا نیستن درست اینه بگیم زیبایی فاکتور مهمی جامعه زیبا بدهکار نیستی زیبا مهم‌تر صفت مثبت دیگه‌ای داری,0
پسرم سالشه داره خواهرش سالش نشده رانندگی یاد می‌ده بهش می‌گه حواست باشه اگه استارت زدی روشن نشد زنگ بزن بیام برات باطری باطری کنم بی‌تفاوت,1
واکنش سخنگوی فدراسیون فوتبال اظرات تاج درمورد برگرداندن کیروش اسکوچیچ قطعا سرمربی تیم ملی می‌ماند صحبت راستای منافع فوتبال,0
امروز خانومای باشگاه پسر ساله‌اش آورده_بود سالن نیم ساعت ورزش گذشت یهو پسرش صدای بلند جون مامان خودم همشون خوشگلتره  خنده,1
الان یادم اومد سر دیت جوکو گفتم فضا عوض شه میدونستی زن فضانورد کی فضا بشقابای ماهواره‌ای شسته واقعا نمیدونم ذهنش اتفاقی افتاد قضیه دیت کشید,1
اومدم آرایشگاه خانومه برو حمیرا جون کاور بگیر رفتم گفتم سلام یده جون میشه کاور بدید,1
واقعا طاقت سختی کشیدن بچمو ندارم پدرا میشم لقمه میجون میذارن دهن بچشون لقمه بخورم برینم دهنش,0
نوشته  افسانه هست میگه اگه زندگیت تنیی زندگی قبلیت عاشقت آرزو واسه باشی  افسانه هست میگه افسانه‌یی تسکین دردای خودتون ماتحتتون درمیارین چرت پرتن,1
رفیقام سال مشهد میره اصفن کراشش تولد بگیره بهش بگه کراشه ساعت میلیونی براش میخره کافه‌ی شهر رزرو میکنه دختره میرسه اینقدر عکساش فرق می‌کرده نشناختتش,1
جامعه‌ی ایرانی سری خور ساکت گاو افتخاره آدمی حق میگه حقش دفاع میکنه میشه ادم پررو دوس دارین اشتباهتون سرپوش گذاشته شه,0
 رفتم کنسرت رضا یزدانی  محیط خاصی کنسرت رفتم ادمی اونجا عجیب لباس چرم ناراحت انگار شاکی زمین تخت کلا هیچکس دست نمی‌زد موزیک,1
دوست دخترم رفتیم  رستوران لوکس گرون گارسون کت شلوار اومد غذاتون چی میل دارید گفتم  لیوان شراب کیوی  لیوان شراب انگور سرخ فرانسوی خانومم یهو گارسون برگشت دوست عزیز فرانسه نیس چس کلاس نیا  آب کیوی یدونه دلستر انگور براتون میارم,1
وقت  بچه اومدم مغازه پولاشو ریخت دخلحدود ۱۴۰ ۱۵۰ هزار تومن عمو همینقدر پول دارم میخوام مامانم کفش بگیرمگفتم اشکال نداره عمو جون هرکدومو خواستی بردار همشون ۱۵۰ تومنهبالاخره انتخاب میخوام سایز پای مامانشو دادم بهش آخر سر می‌خواست مغازه بره پولشو دادم گفتم عمو هدیه خودتو مامانته تشکر امروز اومده صدای بلند میگه سلام عمو اون روز فکرم درگیره رایگان کفش میدی گفتم عمو جون چطور مگه برگشته میگه خب اخه اینطوری خودت نمیمونه ورشکست میشی الان بنر خداحافظی زدی گفتم بخاطر کفشی بخاطر دادی داری می‌کنی دلم گفتم ای کاش بچه‌ نشین دنیای آدم بزرگا بیرحمه,0
دستفروش مترو باتری ضد بمب اتم خریدم جفتشو هزارتومن نجات جون خودت جنگ جنی اقداماتی انجام دادی هموطن,1
شهری ایرانیا اتفاق معتقدند مردمش خوبنشیرازه,0
دیدید فیلم شکست عشقی خورده سرش تکیه میده شیشه اتوبوس تجربه مفیده بس اتوبوس چاله چوله تکون خورد روز سردرد شدید داشتم اون شکست عشقی کلا اون عشق فراموش,1
رفیقم تازه کات داشتم دل داریش می‌دادم عکس واسم فرستاد وگفت حاجی زیاده دختر  نگاه عکس دختره دیدم خوشگله گفتم داداش نیستا زد گریه,1
دوستم یکماه مخمو می‌زد بریم شهربازی سقوط آزاد سوار بشیم بعدش رفتیم سوار شدیم همون صندلی  بی‌تفاوت خنده,1
چطور توی سالگی خونه خریدی سالگی دانشگاه شدم دارم کار خب خریدی میلیارد پس‌انداز کردی آره تومن کرده_بودم میلیارد بابام  بی‌تفاوت,1
یبار همکلاسیام کراش زدم چنتا درسو افتاد مشروط مجبور ورودیای کلاس برداره  دانشکده دیگه مهمان بعدش اخراجش ترسیدم  موقع کلا صحنه‌ی روزگار محو بشه دیگه آنکراشش,1
صورتی رویایی نشون زندگی مشترک نشون سختی کار اشتباهیه مثلا آمار پژوهش نشون والدین نوزادان تازه متولد بطور میانگین دوسال تولد نوزاد ماه خواب نخواهند_داشت اون لحظی شیرینیی نوزاد بچه کوچیک شبکه‌ی اجتماعی می‌بینید یادتون باشه دوسال سختی بیخوابی تحمل,0
برنامه‌یی تابستون قرار انجام بدمو کاغذ نوشته_بودم زده_بودم دیوار الان رفتم تابستونش خط زدم پاییز,1
درددل دست‌کم آدمیزاد اگه  نفر مطمئن نداشته باشه خیالت راحت پیشش درددل کنه میاره پژمرده میشه,0
بابام  ترم پول کلاس زبانمو دیگه آخر عمرم انتظار داره واسش فیلم خبرای ترجمه,1
پارتی کنین کتابم بخونین مشروب بزنین اقتصاد سیاستم بفهمین آرایشگاه برین باشگاهم برین رابطه باشین روحتونو فراموش نکنین تکیه کنین جوری باشین اگه دست نرین خلاصه آدمی باشین روح مغز بدرد عیاشی میخوره,0
من‌ی لاته لطفا باریستا لته دفعه بعدی من‌ی لته لطفا باریستا لاته مرگ,1
این‌که کلا فضای اخلاقی دانشگاه‌ی ایران رفته ترسناکه قبول نداره کپی تقلب خرید فروش پروژه کار بدیه ماهم معصوم نبودیم گاهی وقت بخاطر فشار کار چرت درس تمرین کپی می‌زدیم میدونستیم کار الان افتخار میکنن,0
