Text,Top Reaction,Top Reaction Count,Views,Date
بزودی... +چطوری باهم آشنا شدید؟ -واییی باید میدیدی چه قشنگ زنجیر میزد 😂  »نمیدونم که...«  @OfficialPersianTwitter,😁,1126,86657,2022-08-01
‏بچه‌ی هفت ساله به مامانش گفت ما مثل دو تا خط موازی‌ایم. تو هیچوقت حرف منو نمی‌فهمی. =))))  »یک واقعا لیلی«  @OfficialPersianTwitter,😁,1350,85261,2022-08-01
‏چجوری توی محرم دوس دختر پیدا میکنید؟ من لباس یزید پوشیده بودم تا میرفتم سمت دخترا جیغ میزدن  *استاد هستم خیر سرم*  @OfficialPersianTwitter,😁,990,83237,2022-08-01
‏این دستفروشا که به صورت سیار ابزار میفروشن خیلی باحالن  میگی این آچاره چند؟ میگن یک میلیون بعداز چهل ثانیه چونه زدن میان روی حدود پونزده هزار تومن  *موقعیتِ‌مقداد*  @OfficialPersianTwitter,😁,1277,89014,2022-08-01
‏چرا کسی راجع به اینکه گربه اندازه‌ی یک انسان بالغ پی‌پی میکنه و بوی توالت عمومی میده حرفی نمیزنه؟ =)))  چس‌مثقال گربه‌س، اندازه‌ی ۱۰تای خودش خروجی میده.  *تینا*  @OfficialPersianTwitter,😁,1153,90516,2022-08-01
‏آدم یکی طلب‌کارشو تو خیابون نبینه، یکی هم اکسشو. به خصوص اگه جفتشون یه نفر باشن.  *مسترایدر*  @OfficialPersianTwitter,😁,1053,88826,2022-08-01
‏هالک ایرانی اگه بادیگارد میخواد من هستم، ۹۰٪ اونایی که نمیتونه خودش بزنه رو من میتونم بزنم  *مسن*  @OfficialPersianTwitter,😁,827,87033,2022-08-01
‏در حاليكه من هنوز معتقدم تو سوشل مديا نبايد به كسي اعتماد كرد، دوستم با دوس پسرش كه تو اينستا اشنا شده بودن ازدواج كرد رفتن هلند  *میم‌قاف*  @OfficialPersianTwitter,😁,1480,85719,2022-08-01
‏حالا درسته قدیمیا گفتن مهمون خر صاحبخونه‌ست، ولی اینکه الان ۲ماهه رفیقم داره بهم نون پنیر میده هم یکم زیاده‌رویه دیگه داره کم کم بهم بر میخوره واقعا  *MehdiBMP*  @OfficialPersianTwitter,😁,905,92697,2022-08-01
‏از هرکی میپرسی تو رابطه ای میگه نه سینگلم  اوناییم که تو خیابون لاو میترکونن همش منم نه؟  *Panishh*  @OfficialPersianTwitter,😁,703,94153,2022-08-01
‏اگه بیشتر پولت ب جای سیگار خرج فندک میشه بدون رفیقای لاشخوری داری  *آیدا*  @OfficialPersianTwitter,😁,805,90014,2022-08-01
‏شیر تعزیه اصلا جزو فرهنگ ما نبوده عربا به زور واردش کردن که وجه‌ی پلنگ پتوی ایرانی رو خراب کنن.  *هات چاکلت*  @OfficialPersianTwitter,😁,1169,88322,2022-08-01
‏من یه زن مثل عمره می‌خوام؛ عاقل و فهمیده، همراه و همدل، باباش حاکم عراق عرب. فقط امیدوارم اون براش مهم نباشه که من شبیه عبدالله زبیرم.  *آقا مصطفی*  @OfficialPersianTwitter,😁,1495,95559,2022-08-01
‏نمی‌دونم چرا همه‌ش حس می‌کنم خوردن موز باعث جلوگیری از ریزش موهام می‌شه. شاید هم چون تا حالا میمون کچل ندیدم.  *دومینور هارمونیک*  @OfficialPersianTwitter,😁,862,87636,2022-08-01
مترو هم واقعا جایه عجیبیه یه نفر با کت و شلوار خیلی جنتلمن نشسته که یهو در باز میشه شروع میکنه دویدن و هل دادن مردم تو پله برقی  *ⓐⓥⓔⓡⓒⓘⓞⓝ ⓐⓜⓞ*  @OfficialPersianTwitter,😁,1349,79363,2022-08-02
‏فک کنم یه فصل جدید به وجود اومده آب و هوایی که توش هستیم نه تابستونه، نه بهار، نه پاییز و نه زمستون  *واکی باباشی*  @OfficialPersianTwitter,😁,825,77900,2022-08-02
‏تو ترمینال شل بگیری یهو دیدی دستت رو گرفتن کردن تو اتوبوس بردنت شمال  *راسل*  @OfficialPersianTwitter,😁,1401,77514,2022-08-02
‏به آدمایی که خوابشون میاد میگن خواب آلو و به آدمایی که نقش بازی می‌کنن که خوابشون میاد میگن خواب زردآلو  *زندانی پنجم*  @OfficialPersianTwitter,😁,519,79541,2022-08-02
‏به کسی که تو ایران زندگی می‌کنه میگن ایرانی، الان به کسی که اهل کره‌ی شمالیه چی میگن؟ کره‌ای شمالی‌ای؟ کروی شمالی؟ کره‌ای شمالوی؟ کره‌ خر پدرسگ؟ ای بابا.  *گراسیاس*  @OfficialPersianTwitter,😁,1069,83987,2022-08-02
‏یکی از معایب زیادی سینگل موندن نداشتن استیکر و گیف بغله، فکر کن بهت میگه بغل میخوام تو هی پیش خودت میگی خب الان چه گهی بخورم :)))))  *اسکیرو*  @OfficialPersianTwitter,😁,951,85248,2022-08-02
‏شما اگه روزی هشت‌ لیوان آب بخوری دیگه بقیه کارهات رو باید توی همون دستشویی انجام بدی.  × دومینور هارمونیک ×  @OfficialPersianTwitter,😁,1005,98869,2022-08-02
‏هر پنج دقیقه یکبار به خودم: احمق تو که کنکور ندادی اصلا چرا استرس داری؟  × فاطک ×  @OfficialPersianTwitter,😁,1810,94941,2022-08-02
‏مغز من هنگام لیزر: این تو نیستی که اینجایی این فقط جسم‌ توعه به به چه نسیم خنکی می‌وزه آیا من کجایم؟ اینا اینقد از این چیزا دیدن که!  × babe che ×  @OfficialPersianTwitter,😁,1576,91090,2022-08-02
تنها سودی که دانشگاه برای من داشت این بود که تونستم کارت دانشجوییم رو به مخابرات نشون بدم تا نت ۲۵۶ بهم بدن  ×⁦ Eciosan ⁦×  @OfficialPersianTwitter,😁,916,88151,2022-08-02
‏می‌نویسید «گرسنه‌گی» و فکر می‌کنید دارید نیم‌فاصله رعایت می‌کنید؟ نیم‌فاصله رعایت نکنید.  × لوج ×  @OfficialPersianTwitter,😁,886,81190,2022-08-02
من یه رفیق دارم از سربازی معاف شده ولی اونم حتی میگفت تو سربازی زده تو گوش فرماندش  × پدرروحانی ×  @OfficialPersianTwitter,😁,1186,85131,2022-08-02
‏نتایج کنکورم که امشب اعلام میشه و دیگه راحت میتونید امشب تو هیئت ها عزاداری کنید =)  》gol pesar《  @OfficialPersianTwitter,😁,1315,81770,2022-08-02
‏من اونجایی به زیاد بودن رتبه‌ی کنکورم پی بردم که برا دوستم پیامکش کردم پول دو تا اس‌ام‌اس کسر کرد  》خلافکار《  @OfficialPersianTwitter,😁,1164,80517,2022-08-02
‏داییم تو بیوش نوشته: من شیری بودم که عشق تو یال هایم را ریخت... یعنی هرجور شده میخواد کچل شدنش رو توجیه کنه حتی به قیمت ریدن به سلطان جنگل و طبیعت :)))  》میم مثل من《  @OfficialPersianTwitter,😁,911,83695,2022-08-02
‏چیه میرن خواستگاری گل و شیرینی میبرن؟! خواستگاری باید پیتزا متری بُرد دو تا خانواده موقع خوردن، اخلاقِ هم دستشون بیاد  》آتوسا صرامی《  @OfficialPersianTwitter,😁,1193,83971,2022-08-02
یکی از بیمارای امروز میگفت من درسشو خوندم تشخیصم این که درد معده و غده فوق کلیه دارم ، شما فقط دارو این دوتا درد رو برام بنویس حالا سن وسوادش ۱۴ ساله ، زیست شناسی اول دبیرستان😂😂😂  》painkiller《  @OfficialPersianTwitter,😁,2307,114345,2022-08-02
خوب سیل که اومد، هیچ کاری از دست من برنیومد. اگه زلزله بیاد می‌تونید رو من حساب کنید آخه رفیقام بهم میگن ستون .😂  》ꪑꫀꫝ𝕣ᦔꪖᦔ《  @OfficialPersianTwitter,😁,725,78784,2022-08-02
‏دستش رو گرفت زیر شیر آب، بهم چند قطره آب پاشید، لیوان آب پاشیدم، لیوان آب پاشید. بطری آب خالی کردم روش، آب گلدون رو برگردوند. منم  آخرش شلنگ تراس رو گرفتم روش. بازی چجوری تموم شد؟ منو عین جزوه زد زیر بغلش گرفت زیر دوش. نتیجه؟ شوهر هم سایز انتخاب کنین که جنگ در کمال عدالت تموم شه.  》دلفین《  @OfficialPersianTwitter,😁,2125,79526,2022-08-02
‏مادربزرگ خدابیامرزم هر وقت کوکو درست می‌کرد میدید چسبیده به تابه، یکی از دخترا یا عروس خانم رو صدا می‌کرد می گفت من یه دیقه پام گرفته نمی تونم پاشم اون کوکو رو برگردونید. بعد که طرف کوکو رو به تره تبدیل می کرد سر غذا می گفت: اشکال نداره باید خودم بر میگردوندمش!!! سیاستش چرچیل بود  》Sabu《  @OfficialPersianTwitter,😁,2801,81792,2022-08-02
پلیس کشیدم کنار و کوله پشتیم رو بررسی کرد، چیزی جز لپ تاپ و 2 تا کتاب شیمی دست نویس پیدا نکرد. گفت خجالت بکش، با این سیس حداقل باید عرق سگی جابجا کنی. تا آشپزخونم داشتم می‌خندیدم.  》1.14《  @OfficialPersianTwitter,😁,2042,79023,2022-08-02
‏ازدواج فامیلی چه مزخرفیه پسر ، فکر کن زنتو بغل میکنی ماچش کنی یهو فوکوس میکنی میبینی چقدر شبیه عموته =))))))  》حاج امیر هستم《  @OfficialPersianTwitter,😁,3310,93731,2022-08-02
بابام با سوپری سر کوچه دعواش شده طرف آخر دعوا گفته راستی پسرتم اینجا سیگار میخره، بیشرف دعواتو بکن به من چه منو چرا منو تَگ میکنی  》خلافکار《  @OfficialPersianTwitter,😁,1654,82469,2022-08-02
آپشن کنکور امسال اینه‌ که با خیالت راحت میتونی بری بیرون گریه کنی تازه چایی هم بهت میدن  》شهریوری《  @OfficialPersianTwitter,😁,1420,84674,2022-08-02
‏نمی‌فهمم چرا 2afm نمی‌تونه کنسرت بذاره؟ این‌همه عن و گوه دارن کنسرت میذارن، 2afm بدبخت که حداقل از اینا بهتره، آدم می‌ره کنسرتش باهاش عربده می‌کشه: بدبخت قیافه‌تو ببین ترکیدی.  》پویا زِد《  @OfficialPersianTwitter,😁,1505,86395,2022-08-02
‏دقت کردین بچه ها تا دوسالگی تپلن... مردها هم بعد ازدواج چاق میشن..  حالا اگه گفتید نقطه اشتراکشون چیه..؟؟  》احمد رضاا《  @OfficialPersianTwitter,😁,2645,91352,2022-08-02
‏داشتم آرشیو عکسارو نگاه میکردم خودمو‌ دیدم با شوک گفتم وای من چقدر زشت بودم قبلا، بابام صداشو بالا برد از تو هال گفت الانم تغییری نکردی:/  》ترمینا لُپ《  @OfficialPersianTwitter,😁,758,84882,2022-08-02
طرف کل فالوئراش ۱۰ نفره بعد استوری گذاشته: خواستم به نوبه خودم فرا رسیدن ماه محرم رو به تمام مردم ایران تسلیت بگم. سلطان اس ام اس میدادی😂  》عموکاکتوس《  @OfficialPersianTwitter,😁,1139,88844,2022-08-02
‏همسایه مون اسنپ کار میکنه میگه امسالم مختارو تا آخر ببینم میرم کوفه اسنپ کار میکنم دیگه همه کوچه‌پس‌‌کوچه هاشو حفظم 😂  》MAMAD《  @OfficialPersianTwitter,😁,1332,89977,2022-08-02
‏اولین سوال یک پدر ایرانی چندی بعد از فرستادن فرزند به خارج از کشور:  تو یعنی الان کامل متوجه میشی همه چی میگن؟  》Seena《  @OfficialPersianTwitter,😁,2301,89924,2022-08-02
دخترا چجوری واسه کراشتون ۱ تومن هدیه میخرید میفرستید؟ دوس دختر من بعد ۲ سال رفاقت روز تولدم بهم زنگ زد گفت ۲۰۰ بزن به کارتم میخوام برات کیک بگیرم بعد رفت یه کیک ۸۰ تومنی خرید  》استاد هستم خیر سرم《  @OfficialPersianTwitter,😁,1455,89478,2022-08-02
‏نذری دادن تو محله قدیمی مون خیلی جالب شده، از چای زغالی گرفته تا قهوه و شربت آبلیمو، طرف یه نگاهی بهت می‌کنه و طبق تشخیص خودش بهت نذری میده، اگه تشخیص بده که اهل مواد هستی، بهت شربت آبلیمو نمیده 😂  》سلطان احمد خان《  @OfficialPersianTwitter,😁,1012,91213,2022-08-02
‏توی اتوبوس دوتا زن سر صندلی دعواشون میشه ، راننده میگه اونی که سنش بیشتر بشینه ، دوتا زن بهم نگاه میکنن و صندلی تا پایان مسیر خالی میمونه 😂😂  》بُرهانیشونم《  @OfficialPersianTwitter,😁,1059,89820,2022-08-02
‏نفرات اول صف قیمه ی نذری محرم همونایین که تو یازده ماه سال میگن آتئیستن:))))  》Kordgirl《  @OfficialPersianTwitter,😁,1047,89086,2022-08-02
"پسر دائیم ۱۲ سالشه استوری گذاشته "" مثل عقاب تنها باش و مثل گرگ درنده "" . آهای عقاب تنهایی که مثل گرگ درنده ای ، فالوورات میدونن وقتی شیشه کمد رو با توپ شکوندی از ترس مامانت یه هفته خونه ما پلاس بودی ؟! واقعا واسم سواله😂😂  》شاه اسماعیل《  @OfficialPersianTwitter",😁,1565,95531,2022-08-02
شما پسرای دهه هشتادی از یار لب میگیرید، حالا دیگه گاهی پیش میاد یه رشته موی بلوند، آغشته به عطر ورساچه، میخزه رو لبتون، لطفا غر نزنید   ما دهه پنجاهی های بدبخت، اولش باید دَه بیستا  تار سیبیل، به ضخامت سیمهای گیتار میجوعیدیم تا برسیم به هدف 😐😐  》لَبِ قصه های تو《  @OfficialPersianTwitter,😁,1395,97261,2022-08-02
🔴فوری  به علت ترافیک سنگین سایت سنجش نتایج در سایت آب و فاضلاب منتشر خواهد شد  》der HrNiko《  @OfficialPersianTwitter,😁,2772,107037,2022-08-02
‏پارسال محرم خونه نشسته بودم مداح محل تو کوچه یهو داد زد، خانوما لطفا برید عقب تا دسته جاشه/////:  》نوفل لوشاتو《  @OfficialPersianTwitter,😁,1556,102808,2022-08-02
فکر کن نصف شب غلت میزنی سمت لب تخت، تو خواب و بیداری دستت یهو میخوره به یه جسمی که میدونی غیر از هوا قاعدتا چیزی نباید اونجا باشه! در کسری از ثانیه مغزت هشدار خطر میده، چشماتو باز میکنی میبینی یه سیاهی کنار تختت در سکوت و تاریکی زل زده بهت، درحالی که بدنت یخ کرده و شوکه شدی سیاهی خم میشه روت بوست میکنه با مهربونی میگه مامانی؟ تو چقدر نرمی! من جیش دارم :)  》مامانی که من باشم《  @OfficialPersianTwitter,😁,2421,110612,2022-08-02
صبح زود از ناسا زنگ زدن خونمون، خوشحال شدم گفتم: دیشب نتایج کنکور اومد میخواین استخدامم کنین؟ گفت نه اسگل اسمتو بگو میخوایم این عدد جدیدی که کشف کردی رو به اسمت ثبت کنیم  》سرگرد《  @OfficialPersianTwitter,😁,1883,111969,2022-08-03
‏یادمه وقتی‌ نتایج کنکور اومد بابام اومد وایساد بالا سر کامپیوتر و گفت رتبه ات رو بخون  شروع کردم به خوندن  گفت این‌ که شماره موبایل عموته، رتبه رو بخون 🤣  》کوهنورد عاشق《  @OfficialPersianTwitter,😁,1667,111238,2022-08-03
‏روزی که نتایج کنکور اومد بابام بالای سرم جلوی کامپیوتر وایساده بود؛ خواستم بهش بگم نتیجه کنکور یه چیز شخصیه که دیدم خلال دندونی که من دیشب استفاده کرده بودم، تو دهنشه!  》فریور خراباتی《  @OfficialPersianTwitter,😁,1738,90426,2022-08-03
‏بچه فامیل اومد خونمون دیدم زیاد سروصدا میکنه گفتم اگه سر و صدا نکنی فردا میبرمت پارک ساعت ۶ صبح پا شدم برم دستشویی دیدم اومده میگه خاله فردا شده، منو ببر پارک دیگه :/  》آسپرین《  @OfficialPersianTwitter,😁,1391,87985,2022-08-03
‏امروز یاد اعلام نتایج کنکور خودم افتادم ...  یه حس عمیق از رضایت و خوشحالی که دمت گرم . یادمه تا صبح خواب به چشمم نیومد  صبح مامانم گفت زنگ بزن به داداشتم بگو  زنگ زدم بهش گفتم داداش قبول شدم خیلی خونسرد  گفت خوب چیکار کنم ؟؟ 😂😂  》AtiBanoo《  @OfficialPersianTwitter,😁,1896,89411,2022-08-03
‏برای موفق شدن همیشه برای کارهاتون برنامه ریزی داشته باشید مثلا من خودم کارهای هر روزم رو لیست میکنم  فقط قبل از شروع کردن یه لحظه گوشیم رو باز میکنم و کلا همه چیز میره رو هوا :'(  》عریبرز فرب نیا《  @OfficialPersianTwitter,😁,733,85964,2022-08-03
‏یادش بخیر رتبه کنکورم که اومد شده بودم ۶۷ هزار ، به مشاورم گفتم میتونم رشته های کوچیک پیرا پزشکی قبول بشم ؟ گفت آره میتونی بشینی‌ رو آمبولانس صدای آژیر در بیاری .  》حاج امیر هستم《  @OfficialPersianTwitter,😁,2281,94522,2022-08-03
بابام همیشه مانع آوردن گربه به خونه بود امروز از سرکار برگشته به گربم میگه، پسرم دلم برات تنگ شده بیا یه بوس به بابا بده و تو بغلم بخواب ببینم بعد من یادم نمیاد آخرین بار بابام کی منو بوسیده:))))  》سارا《  @OfficialPersianTwitter,😁,1412,90427,2022-08-03
‏لانگ دیستنس فقط فاصله بین رتبه من و رتبه یک کنکور. خیلی دوستش داشتم ولی فاصله‌مون رو اسنپ می‌گرفتی یه میلیون میشد  》پطروس مقدس《  @OfficialPersianTwitter,😁,999,102798,2022-08-03
‏دخترای دهه هشتادی یه جوری دارن شبیه هم میشن که اگه مچ دوست‌پسرشونو درحال خیانت کردن بگیرن، پسره میتونه بگه فکر میکردم این تویی.  》Kevin《  @OfficialPersianTwitter,😁,972,103398,2022-08-03
‏سر چهارراه سیروس ی موتوریه زد به یه موتور دیگه بعد گفت کوری نمیبینی بار دارم میای جلوم !! یکم رفتم جلوتر ترافیک بود زرت همون موتوریه اومد زد به موتور من ، یهوو برگشتم دیدم همونه ؛ یهوو گفت داداش معذرت تو کور نیستی من  شُل دستم ... 😂  》محسن کاظمی《  @OfficialPersianTwitter,😁,1207,109951,2022-08-03
ی دوست دختر داشتم اینقدر خنگ بود که یسری رفتیم دم عابر بانک بهم گفت زبان دستگاه رو انگلیسی بزن شاید بهمون دلار بده.. شاید باورتون نشه ولی حتی اونم ولم کرد رفت😂😂  》لوئیس《  @OfficialPersianTwitter,😁,1558,110855,2022-08-03
بعضی مداحا یه اسمای دقیقی از سپاه شمر تو روضه میگن که بخدا خود شمر هم طرف رو به قیافه میشناخته اسمشو نمیدونسته  》موژی《  @OfficialPersianTwitter,😁,1758,93101,2022-08-03
کاش یه سجاد غریبی جیبی داشتم  هر وقت عصبانی بودم درش می‌آوردم و کتکش میزدم تا آروم بشم  》ژنرال《  @OfficialPersianTwitter,😁,1328,89385,2022-08-03
یکی از فامیلامون از سن ۱۶ سالگی چندسال عاشق یه دختره بود بعد از ده سال و کلی سختی بهم رسیدن، شب عروسیش موقعی که اومد تو سالن یادش رفته بود عروسو با خودش بیاره و تو ماشین جاش گذاشته بود :))))))))))))))  》الـمـیـرا《  @OfficialPersianTwitter,😁,2085,90253,2022-08-03
‏ساعت ۳ ظهر به هوای اینکه خلوته میری باشگاه میبینی ۵۰ نفر دیگه هم ساعت ۳ ظهر به هوای اینکه خلوته اومدن باشگاه  》دابانف《  @OfficialPersianTwitter,😁,1513,86755,2022-08-03
کلاس دوم بودم با مامانم دم در خونمون منتظر سرویس بودیم؛ سرویس اومد من سوار شدم رفتم کیفم موند دست مامانم=))))) اونم پشت سر من تاکسی گرفت خودشو رسوند مدرسه. نگو جلو مدرسه با اولیاها حرف زده آخرشم با همونا برگشته خونه=)) تو راه دیده کیفم هنوز دستشه زنگ زد مدرسه گفت خسته شدم دگه نمیارم  》واتسون《  @OfficialPersianTwitter,😁,1976,87297,2022-08-03
"امروز یکی از فامیلای دورمونو‌ دیدیم از اون رومخا, وسطای صحبت گفت محمدرضا تو نمیخوای دماغتو‌ عمل کنی تا خواستم جواب بدم یدفعه بابام گفت خیلی ببخشید معذرت میخوام ولی مگه دماغش تو ماتحت شماست؟ =))))))))))))  》شیر مشکی《  @OfficialPersianTwitter",😁,2664,88813,2022-08-03
‏آقا من امروز به معنای واقعی کلمه ریدم. بابای یکی از دوستام اومد موهاشو بزنم، همینطوری که داشتم روی کله ش کار می کردم و اونم ساکت بود، برای خودم فکر می کردم که پول نگیرم ازش. یهو وسط کار بهش گفتم قابل نداره :))))))))))) پشمای جفتمون ریخت.  》حسینقلی خان《  @OfficialPersianTwitter,😁,3363,97028,2022-08-03
‏چطوریه که شما هم ساکن خارجید هم محرما عزاداری میکنید ؟ ما یه بار خونمون نون تست با کره بادوم زمینی خوردیم از فرداش هممون آتئیست شدیم .  》حاج امیر هستم《  @OfficialPersianTwitter,😁,1893,109878,2022-08-03
‏یه رابطه میخوام مثل مریم امیرجلالی با آقا ماشالا. عصبی، وحشی، سوهان روح، پر از درگیری و هیجان. عشق خالصانه.  》گابریل گارداسیل احمد《  @OfficialPersianTwitter,😁,1218,108410,2022-08-03
من خودم دوست داشتم برم دانشگاه ولی چون رتبه کنکورم رو میخواستن و رتبه کنکور یچیز شخصیه نرفتم  × کمدی انسانی ×  @OfficialPersianTwitter,😁,1546,86443,2022-08-03
‏دیگه به مایی که یه مسواکو پونزده نفری استفاده می‌کنیم نگو نتیجه کنکور یه چیز شخصیه، زود باش رتبتو بگو یکم بخندیم  × دی واکر ×  @OfficialPersianTwitter,😁,1212,84693,2022-08-03
کافیه به یکی بگی قلقلکی نیستی انگشتشو مثل میله گرد ۱۸ تا ناموس تو نصف بدنت فرو میکنه. نکن عزیز من نکن  × Armin Nasouti ×  @OfficialPersianTwitter,😁,1160,89727,2022-08-03
‏امروز فهمیدم تذکرایی که بهمون تو بچگی دادن هم با پولدارا فرق میکنه. به یکی گفتم بابای تو هم میگفت پوست هندونه رو نخور کچل میشی؟ پشماش ریخت، سوالش این بود که چرا یکی باید پوست هندونه رو بخوره؟  *حشمت کرایست*  @OfficialPersianTwitter,😁,1625,90809,2022-08-03
‏در باب کنکور و رتبه: رتبه‌ی من تو کنکور خوب شد و رتبه‌ی رفیقم افتضاح. همش تو دلم میگفتم: چقدر بدبخته. طفلک به هیچ جا نمیرسه. دقیقا دوازده سال بعد واسه یه شرکت رزومه فرستادم که مدیرعاملش همون دوستم بود :)) استخدامم نکردن.  *پشه خسته*  @OfficialPersianTwitter,😁,2466,89143,2022-08-03
‏اونایی که کنکور هنر دادن پیش نیاز تمام درس‌ها تو اون رشته گارداسیله، بزنید.  *آقا الماسی*  @OfficialPersianTwitter,😁,1483,90564,2022-08-03
‏اون فاز شیطان پرستی که یمدت شاهین نجفی گرفته بود بعد اخراج شدن از عرش الهی بد ترین اتفاقی بود که برای شیطان افتاد.  *پتانسیل*  @OfficialPersianTwitter,😁,1340,96189,2022-08-03
‏با پسرداییم اومدیم خونه کسی خونه نبود هوا هم گرم بود لخت شدیم با شورت داشتیم گلارو آب میدادیم بابام یهو رسید پرسید چیکار میکردین!؟ گفتم اگه بگیم گلارو آب میدادیم باور میکنی!؟ سرشو تکون داد رفت  *دابانف*  @OfficialPersianTwitter,😁,1990,85288,2022-08-03
۹۹ درصد شماره های تو گوشیم بیخوده شماره یکی شون رو پاک کردم حالا مرگ و زندگیم افتاده دست همون یه نفر :(  *Milad*  @OfficialPersianTwitter,😁,1499,83798,2022-08-03
‏شباهت من با مختار اینه که جفتمون لرزه به اندام شام میندازیم  *برکینگ افتضاح*  @OfficialPersianTwitter,😁,1260,85997,2022-08-03
اینایی که تو خیابون نذری گرفتن دارن میرن، یه جوری نگات میکنن انگار لاتاری برنده شدن!  *Too Mas*  @OfficialPersianTwitter,😁,1357,88927,2022-08-03
‏تو این دنیا واقعا هیچی سرجاش نیست؛ مثلا پولایی که باید تو حساب من باشن تو حساب ایلان ماسکن.  *کاربر کسرا*  @OfficialPersianTwitter,😁,952,88788,2022-08-03
‏با دختره حرف میزدم گفتم پسرعموم خیلی اسکله، دیروز برگشته میگه آبانیا خیلی زودرنجن و اینا گفت وااای هنوزم ازین آدما پیدا میشن؟ باورم نمیشه، یارو حتی نمیدونه آبانیا فقط یکم مغرورن  *اشکان مدیری*  @OfficialPersianTwitter,😁,1331,87631,2022-08-03
‏داشتم به این فکر می‌کردم که سجاد غریبی واقعا شانس آورد که ورزش شنا رو انتخاب نکرد. وگرنه با این پتانسیلش حتما توی حین مسابقه غرق می‌شد.  *دومینور هارمونیک*  @OfficialPersianTwitter,😁,846,87829,2022-08-03
‏دامادمون میخواد واسه خواهر زادم اسب بخره، بعد مامانم میگه نمیخواد حالا اگه خیلی بهونه گرفت میگیم یکم سوار علیرضا بشه و یادش بره  *عَلِضا*  @OfficialPersianTwitter,😁,1770,91078,2022-08-03
‏نتیجه کنکور و اینکه کجا قبول شدی مهم نیست، مهم اینه اوایل دانشگاه عاشق نشی  *واکی باباشی*  @OfficialPersianTwitter,😁,1742,91495,2022-08-03
